Date	Variation
08-07	3.4
08-08	3.5
08-09	3.4
08-10	2.6
08-11	2.0
08-12	1.2
09-01	1.1
09-02	1.4
09-03	1.2
09-04	0.4
09-05	0.1
09-06	-0.3
09-07	-0.9
09-08	-0.8
09-09	-0.9
09-10	0.1
09-11	1.0
09-12	1.3
10-01	1.9
10-02	1.6
10-03	1.4
10-04	1.8
10-05	1.4
10-06	1.0
10-07	1.8
10-08	1.7
10-09	1.9
10-10	2.4
10-11	2.0
10-12	2.4
11-01	2.3
11-02	2.2
11-03	3.3
11-04	3.3
11-05	3.7
11-06	3.1
11-07	2.7
11-08	3.1
11-09	3.2
11-10	2.9
11-11	2.9
11-12	2.3
12-01	2.5
12-02	2.6
12-03	1.9
12-04	2.0
12-05	1.2
12-06	1.5
12-07	1.3
12-08	1.2
12-09	1.2
12-10	1.2
12-11	0.8
12-12	0.8
13-01	0.5
13-02	1.2
13-03	1.0
13-04	0.4
13-05	0.7
13-06	1.2
13-07	1.3
